bridges_v1_2_0.75_1.pddl_38 64 RG amir 2 9 1 1.011 4 pode1 2 9 1 0.555 4 jdd 2 9 1 1.018 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_3 256 RG amir 3 10 2 0.098 4 pode1 3 10 2 0.168 4 jdd 3 10 2 0.074 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_12 256 RG amir 2 9 1 0.024 4 pode1 2 9 1 0.06 4 jdd 2 9 1 0.063 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_13 256 RG amir 3 12 2 0.031 2 pode1 3 12 2 0.078 2 jdd 3 12 2 0.052 2 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_30 256 RG amir 3 12 2 0.022 2 pode1 3 12 2 0.04 2 jdd 3 12 2 0.044 2 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_38 256 RG amir 2 9 1 0.041 4 pode1 2 9 1 0.035 4 jdd 2 9 1 0.034 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_40 256 RG amir 3 12 2 0.025 2 pode1 3 12 2 0.055 2 jdd 3 12 2 0.037 2 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_55 256 RG amir 2 9 1 0.019 4 pode1 2 9 1 1.024 4 jdd 2 9 1 0.518 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_64 256 RG amir 2 9 1 1.011 4 pode1 2 9 1 0.526 4 jdd 2 9 1 1.021 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_70 256 RG amir 3 10 2 1.016 4 pode1 3 10 2 1.034 4 jdd 3 10 2 0.524 4 CL amir L L L L L pode1 L L L L L jdd L L L L L 
bridges_v1_2_1.0_1.pddl_95 256 RG amir 3 12 2 1.015 2 pode1 3 12 2 0.024 2 jdd 3 12 2 0.017 2 CL amir L L L L L pode1 L L L L L jdd L L L L L 
